Date,Topic,XLSX_URL,PDF_URL,FILENAME
03.07.2020,Bundeswahlgesetz (Geschäftsordnungsantrag),/resource/blob/704496/5d6e83f4c2204ac3a514b7970fff9a48/20200703_2_xls.xlsx,/resource/blob/704492/875226606b6cd662aa1a0190c9d2b8c2/20200703_2.pdf,40b32fec-978e-4272-91ef-5f18be999629
03.07.2020,Kohleausstiegsgesetz (Änderungsantrag 19/20730),/resource/blob/704410/abaa35a8f21b571771856b759602d9df/20200703_1_xls.xlsx,/resource/blob/704408/886b2e21ca8f0507940b5b58ca5a5483/20200703_1.pdf,bc2fb9f1-81e3-4adc-820e-83f1d21a53fb
02.07.2020,Corona-Konjunkturpaket (Entschließungsantrag 19/20739),/resource/blob/704220/c646fd721e2d57bf93632cdd3925e3a9/20200702_2_xls.xlsx,/resource/blob/704218/c2addaa6b83fd163804e96e6214d4477/20200702_2.pdf,8be0a01b-49f8-4b80-9f37-45192535c3e5
02.07.2020,Corona-Konjunkturpaket (Beschlussempfehlung 19/20716),/resource/blob/704198/16427e55712dd6d40282f649f6ca838e/20200702_1_xls.xlsx,/resource/blob/704196/b49536548c6219200facb3ba3f3fa837/20200702_1.pdf,96affbca-fafa-4131-8dea-5e174d719e29
19.06.2020,Antiextremistischer Grundkonsens in Politik und Gesellschaft - Rechtsstaat und Demokratie schützen - Antifa ächten,/resource/blob/701934/05b56da3972e6220834bd73cf58f8291/20200619_1_xls.xlsx,/resource/blob/701932/f14dc5969bf3ee8e7a20667db7bb41e6/20200619_1.pdf,b7247460-5c5a-44b9-8082-f8c27d48acff
18.06.2020,Europäische Arbeitnehmerentsendung,/resource/blob/701690/1b22922a7013103071ae11ba780ee7db/20200618_2_xls.xlsx,/resource/blob/701688/c595a001552b0af3e2fcb8ef8791d752/20200618_2.pdf,11c65e3a-bea8-41fa-80db-f7731bf99080
17.06.2020,Bundeswehreinsatz Libanon (UNIFIL) (Beschlussempfehlung),/resource/blob/701426/663857c73a5abddcdddfec530f92f08b/20200617_2_xls.xlsx,/resource/blob/701424/1725562c38a43fc6195e71ac4c3f1054/20200617_2.pdf,dc490af2-d991-46f3-9645-05344170ba2f
17.06.2020,Bundeswehr im Kosovo (KFOR) (Beschlussempfehlung),/resource/blob/701422/4c3900f94b50687daeec0dcd2e8898b7/20200617_1_xls.xlsx,/resource/blob/701420/85c0a180d282edeed836f544f75ef774/20200617_1.pdf,e63f1ff8-cf89-4470-b64f-93fa54ead9a8
29.05.2020,Beschlussempfehlung zur Fortsetzung des Bundeswehreinsatzes EUTM Mali,/resource/blob/698588/e046f1c448f1eb2bd5931be6a06162bc/20200529_1_xls.xlsx,/resource/blob/698590/e60579d3e5d88bc3262a0b3fa053da64/20200529_1.pdf,13cf4fba-bcec-4fbe-bfc7-12adf3601c3b
29.05.2020,Beschlussempfehlung zur Fortsetzung des Bundeswehreinsatzes in Mali (MINUSMA),/resource/blob/698700/4164667e05b494b40f2ff894aee79471/20200529_2_xls.xlsx,/resource/blob/698702/170301955ab85e0fe82dce1a425015b9/20200529_2.pdf,d3b6348c-dca7-420d-b25a-5811fdb56b60
